 ,  ,  ,  ,  ,  ,  , NonIrradiated Bar ,  ,  ,  , 1.00E+13 ,  ,  ,  ,  ,  ,  ,  ,  , 5.00E+13 ,  ,  ,  ,  ,  ,  ,  ,  , 2.00E+14 ,  ,  ,  ,  , 
DRSrun , DRSsize , DRStime , PIXELsize , PIXELtime , PIXELrun , Angle , T_S1 , V_S1 , T_S2 , V_S2 , T_S3 , V_S3 , A_S3 , Vbr , OV , DCR (at-20C) , T_S4 , V_S4 , A_S4 , T_S5 , V_S5 , A_S5 , Vbr , OV , DCR (estimate for -23) , T_S6 , V_S6 , A_S6 , T_S7 , V_S7 , A_S7 , T_S8 , V_S8 , A_S8
44499 , 1.2G , Apr 18 17:13 , 2.4M , Apr 18 17:17 , 44499 , 0 deg ,  ,  ,  , 39.00 ,  , 38.30 , 0.45 ,  ,  ,  ,  , 38.30 , 0.45 ,  , 39.15 , 0.67 ,  ,  ,  ,  , 39.25 , 0.57 ,  , 40.80 , 0.66 ,  , 40.80 , 0.68
44500 , 1.2G , Apr 18 17:37 , 2.5M , Apr 18 17:41 , 44500 ,  ,  ,  ,  , 40.00 ,  , 39.30 , 1.33 ,  ,  ,  ,  , 39.30 , 1.33 ,  , 39.65 , 1.32 ,  ,  ,  ,  , 39.75 , 1.29 ,  , 41.50 , 2.30 ,  , 41.50 , 2.30
44501 , 1.2G , Apr 18 18:04 , 2.4M , Apr 18 19:18 , 44501 ,  ,  ,  ,  , 39.50 ,  , 38.80 , 0.85 ,  ,  ,  ,  , 38.80 , 0.85 ,  , 39.40 , 0.97 ,  ,  ,  ,  , 39.50 , 0.96 ,  , 41.20 , 0.98 ,  , 41.20 , 1.12
44506 , 1.2G , Apr 18 20:24 , 2.4M , Apr 18 21:03 , 44506 ,  ,  ,  ,  , 40.50 ,  , 39.50 , 1.64 ,  ,  ,  ,  , 39.50 , 1.64 ,  , 39.80 , 1.60 ,  ,  ,  ,  , 39.90 , 1.60 ,  , 41.70 , 2.60 ,  , 41.70 , 2.50
44510 , 1.2G , Apr 18 20:58 , 2.5M , Apr 18 21:07 , 44510 ,  ,  ,  ,  , 40.50 ,  , 39.50 , 1.70 ,  ,  ,  ,  , 39.50 , 1.70 ,  , 39.80 , 1.60 ,  ,  ,  ,  , 39.90 , 1.60 ,  , 41.50 , 2.11 ,  , 41.50 , 1.90
44511 , 1.2G , Apr 18 21:24 , 2.5M , Apr 18 21:26 , 44511 ,  ,  ,  ,  , 38.00 ,  , 41.00 , 2.25 ,  ,  ,  ,  , 41.00 , 2.25 ,  , 40.30 , 2.79 ,  ,  ,  ,  , 40.40 , 2.72 ,  , 41.70 , 2.46 ,  , 41.70 , 2.54
44514 , 1.2G , Apr 18 22:04 , 15M , Apr 18 22:30 , 44514 ,  ,  ,  ,  , 40.20 ,  , 40.20 , 2.25 ,  ,  ,  ,  , 40.20 , 2.25 ,  , 40.10 , 2.27 ,  ,  ,  ,  , 40.20 , 2.27 ,  , 41.80 , 2.60 ,  , 41.80 , 2.70
44521 , 1.2G , Apr 18 23:01 , 2.5M , Apr 18 23:04 , 44521 ,  ,  ,  ,  , 40.20 ,  , 40.20 , 2.25 ,  ,  ,  ,  , 40.20 , 2.25 ,  , 40.10 , 2.27 ,  ,  ,  ,  , 40.20 , 2.27 ,  , 41.80 , 2.60 ,  , 41.80 , 2.70
44522 , 1.2G , Apr 18 23:15 , 2.5M , Apr 18 23:18 , 44522 ,  ,  ,  ,  , 40.00 ,  , 38.90 , 0.94 ,  ,  ,  ,  , 38.90 , 0.94 ,  , 39.40 , 1.00 ,  ,  ,  ,  , 39.50 , 1.00 ,  , 41.10 , 0.97 ,  , 41.10 , 0.86
